,comment,upvote,time
426,2022  Essa música e linda e perfeito ela é muito viciante eu já ouvi várias vezes. stay e Justin Bieber camtamdo juntos ficou perfeito. quendo eu ouvi esa música pela primeira vez eu  já amei ️,2,3 weeks ago
427,,1,13 days ago
428,"Last time I saw this guy was on Lyrical Lemonade. Well done, Laroi",,2 weeks ago
429,I love this music haha!!,1,3 days ago (edited)
430,I love how relatable this song is it’s off the chart Tysm for making this,122,1 year ago
431,Absolutely amazing justin ,,1 day ago
432,この曲好き♪,1,1 month ago
433,I love this song,1,5 days ago
434,참 아름다운 곡이에요 응원할게요 스테이!,,3 weeks ago
435,Tú eres mi youtuber favorito cómo mi cantante favorito ,1,21 hours ago
436,"Kid Laroi, Bieber, and Charlie Puth are surprisingly a really good team.",319,1 year ago
437,Fire music ,,7 days ago (edited)
438,So amazing     ,,3 weeks ago
439,esto es musica de verda ,,6 days ago
440,"when you feel discouraged without wanting to do anything, play this song. and you will see how your day changes",3,5 days ago
441,"do the same thing I told you that I never would

I told you I'd change, even when I knew I never could

I know that I can’t find nobody else as good as you

I need you to stay, need you to stay, hey 
Read more",1,11 days ago
442,I accidently clicked and now I'm addicted to it.,328,1 year ago
443,Not into this genre but it is fire,,3 weeks ago
444,Even Charlie Puth listens to this masterpiece lmao,2,3 weeks ago
445,,1,12 days ago
446,"Okay.  I'll admit it...there's a Beiber song I like.

Sounds like a final boss music to an RPG or a Sonic game.",,2 weeks ago (edited)
447,Ещё немного и 700 млн просмотров,1,11 hours ago
448,This needs an extended version we want more.,229,1 year ago
449,I love this song too much bro,1,3 weeks ago
450,Muy buena canción,,3 weeks ago
451,The best  ,1,9 days ago
452,"Godbless you all   From Montreal , Canada 🇨🇦🇨🇦🇨🇦",2,3 weeks ago
453,,1,7 days ago
454,This is the most addictive song.I just can't get over it.,611,1 year ago
455,Me encanta,1,4 weeks ago
456,Legendary song,1,11 hours ago
457,Welcome to the Just Dance community The Kid Laroi!!!,1,2 weeks ago
458,,,8 days ago
459,Bro why is this song so good,,7 days ago
460,"Lyrics:

[Chorus: The Kid LAROI]
Read more",311,11 months ago
461, i love your song,,3 weeks ago
462,Wish I had one once of thier talent,,2 days ago
463,Скучаю по 2021 году,1,13 days ago
464,JB looks so much better with his hair this way,,4 weeks ago
465,,2,2 days ago
466,Love the fact that justin is taking Laroi under his wing like juice did. Laroi's gonna be a legend!!,129,1 year ago
467,"Dont lie
This literally gives u chills...",3,3 weeks ago
468,Лучшая песня в мире,1,10 hours ago
469,Awsome,,1 day ago
470,Stay is just my fav song,,3 weeks ago
471,FIRE,1,2 weeks ago
472,"""I'll be fucked up if u can't be right here""
Favorite line",686,1 year ago
473,Justin vocals always have been amazing but people are jealous about that fact,1,1 day ago (edited)
474,"A little short, but a very good song.",,3 weeks ago
475,I loved,,6 days ago
476,Man I wish we had it in instrumental,,12 days ago
477,Good  song,1,2 weeks ago
478,The chorus of this song would be perfect for a movie scene,411,1 year ago
479,LAROI YOU ADE 1 OF THE BEST SINGERS I HAVE EVER HEARD ,,1 month ago
480,FIRE SONG,1,7 hours ago
481,One of my favorite song on 2k22,,3 days ago
482,Лучшая песня в мире,1,2 weeks ago
483,FIRE!,,13 days ago
484,I can't stop listening to this song....SERIOUSLY!!,206,11 months ago
485,This is beyond words,1,16 hours ago
486,Get well soon biebs. I will pray for you,2,2 weeks ago
487,5,1,13 days ago
488,Amazing song ️,,2 weeks ago
489,Nice dude ,1,9 days ago
490,"Why does this song just have such a nostalgic and good feel to it, like i feel like crying listening to this because i literally go through a ton of memories in my mind",127,1 year ago
491,いい曲ですね,,7 days ago
492,マジで好き,,2 weeks ago
493,Der Tod von John wahr so traurig,20,8 days ago
494,,,12 days ago
495,STAY now 2 billion,1,9 days ago
496,Excelente canción y vídeo de The Kid LAROI y Justin Bieber.,448,1 year ago
497,Очень необычная песня,1,2 weeks ago
498,вообще классный трек,,6 days ago
499,this song help me survive Quarantine,,10 days ago
